Disaster,Decade,sum_costs,sum_deaths,count
Cyclone,1980,46471.90000000001,209,7
Storm,1980,12495.6,287,8
Drought,1980,117898.40000000001,1814,5
Flooding,1980,18966.3,188,6
Wildfire,1980,6420.6,0
Winter,1980,6420.6,335,3
Flooding,1990,74611.3,195,9
Cyclone,1990,125690.8,299,12
Storm,1990,41510.600000000006,349,16
Drought,1990,27179,1590,6
Wildfire,1990,13826.6,46,4
Winter,1990,38898.4,596,8
Winter,2000,1320.3,4,1
Storm,2000,70799.6,298,30
Wildfire,2000,20620.1,109,7
Flooding,2000,20137.3,57,4
Drought,2000,67245.4,190,8
Cyclone,2000,436039.50000000006,2443,15
Winter,2010,16058,117,7
Flooding,2010,74116.8,212,18
Storm,2010,199738.9,851,78
Cyclone,2010,536138.2000000001,3567,12
Drought,2010,96089.8,271,8
Wildfire,2010,70826.7,209,7
