Disaster,Year,sum_costs,sum_deaths,count
Cyclones,2020,54450.7,86,7
Storms,2020,40790.399999999994,85,13
Droughts,2020,5439.1,45,1
Wildfires,2020,19904.5,46,1
Cyclones,2021,88665,104,4
Storms,2021,23250.1,114,11
Droughts,2021,10201.9,229,1
Winters,2021,27223.2,262,1
Wildfires,2021,12064,8,1
Floodings,2021,2894.6,7,2
Storms,2022,22953.2,10,11
Floodings,2022,1552.9,42,1
Cyclones,2022,123392.9,182,3
Wildfires,2022,3296.6,17,1
Winters,2022,8951.7,87,1
Droughts,2022,23480.6,136,1
Winters,2023,1838.8,1,1
Storms,2023,55509.6,100,19
Floodings,2023,9413.8,37,4
Cyclones,2023,7979.7,7,2
Wildfires,2023,5665,100,1
Droughts,2023,14786.7,247,1
Storms,2024,46774.5,51,17
Winters,2024,3672.1,61,2
Floodings,2024,1113,4,1
Wildfires,2024,1780,2,1
Cyclones,2024,123957,314,5
Droughts,2024,5417,136,1
