Name,Disaster,Costs,Deaths,Year,Decade,Hurricane
Allen ,Tropical Cyclone,2177.2,13,1980,80,true
Alicia ,Tropical Cyclone,9180,21,1983,80,true
Elena ,Tropical Cyclone,3684.6,4,1985,80,true
Gloria ,Tropical Cyclone,2431.5,11,1985,80,true
Juan ,Tropical Cyclone,4220.7,63,1985,80,true
Allison ,Tropical Cyclone,1445,11,1989,80,false
Hugo ,Tropical Cyclone,22139.8,86,1989,80,true
Bob ,Tropical Cyclone,3381.6,18,1991,90,true
Andrew ,Tropical Cyclone,58860,61,1992,90,true
Iniki ,Tropical Cyclone,6727,7,1992,90,true
Alberto ,Tropical Cyclone,2066.9,32,1994,90,false
Erin ,Tropical Cyclone,1708.5,6,1995,90,true
Marilyn ,Tropical Cyclone,4200,13,1995,90,true
Opal ,Tropical Cyclone,9378,27,1995,90,true
Fran ,Tropical Cyclone,9763.8,37,1996,90,true
Frances ,Tropical Cyclone,1316,2,1998,90,false
Bonnie ,Tropical Cyclone,1842.4,3,1998,90,true
Georges ,Tropical Cyclone,11250.9,16,1998,90,true
Floyd ,Tropical Cyclone,11878.5,77,1999,90,true
Allison ,Tropical Cyclone,14743.1,43,2001,0,false
Lili ,Tropical Cyclone,1877.7,2,2002,0,true
Isidore ,Tropical Cyclone,1955,5,2002,0,false
Isabel ,Tropical Cyclone,9103.5,55,2003,0,true
Charley ,Tropical Cyclone,25919.2,35,2004,0,true
Frances ,Tropical Cyclone,15876,48,2004,0,true
Ivan ,Tropical Cyclone,33211,57,2004,0,true
Jeanne ,Tropical Cyclone,12144.6,28,2004,0,true
Dennis ,Tropical Cyclone,3917.1,15,2005,0,true
Katrina ,Tropical Cyclone,195046.1,1833,2005,0,true
Rita ,Tropical Cyclone,28490.1,119,2005,0,true
Wilma ,Tropical Cyclone,29260,35,2005,0,true
Dolly ,Tropical Cyclone,1774.2,3,2008,0,true
Gustav ,Tropical Cyclone,8395.8,53,2008,0,true
Ike ,Tropical Cyclone,41998.3,112,2008,0,true
Irene ,Tropical Cyclone,18351.9,45,2011,10,true
Lee ,Tropical Cyclone,3392.1,21,2011,10,false
Isaac ,Tropical Cyclone,3675.4,9,2012,10,true
Sandy ,Tropical Cyclone,86502.7,159,2012,10,true
Matthew ,Tropical Cyclone,12700,49,2016,10,true
Harvey ,Tropical Cyclone,155000,89,2017,10,true
Irma ,Tropical Cyclone,62000,97,2017,10,true
Maria ,Tropical Cyclone,111600,2981,2017,10,true
Florence ,Tropical Cyclone,29280,53,2018,10,true
Michael ,Tropical Cyclone,30219.8,49,2018,10,true
Dorian ,Tropical Cyclone,1932,10,2019,10,true
Imelda ,Tropical Cyclone,6000,5,2019,10,false
Hanna ,Tropical Cyclone,1268.5,0,2020,20,true
Isaias ,Tropical Cyclone,5613.1,16,2020,20,true
Laura ,Tropical Cyclone,27393.7,42,2020,20,true
Sally ,Tropical Cyclone,8583.2,5,2020,20,true
Delta ,Tropical Cyclone,3383.1,5,2020,20,true
Zeta ,Tropical Cyclone,5135.3,6,2020,20,true
Eta ,Tropical Cyclone,1722.8,12,2020,20,false
Elsa ,Tropical Cyclone,1358.6,1,2021,20,false
Fred ,Tropical Cyclone,1430.2,7,2021,20,false
Ida ,Tropical Cyclone,82400.7,96,2021,20,true
Nicholas ,Tropical Cyclone,1137.9,0,2021,20,true
Fiona ,Tropical Cyclone,2610.4,25,2022,20,true
Ian ,Tropical Cyclone,116272,152,2022,20,true
Nicole ,Tropical Cyclone,1050.6,5,2022,20,true
Typhoon Mawar ,Tropical Cyclone,4292.5,2,2023,20,false
Idalia ,Tropical Cyclone,3490.6,5,2023,20,true
