disaster,costs,unadjusted cost,deaths
Flooding,2749.4,706.8,7
Tropical Cyclone,2236.2,590,13
Drought,40681.2,10020,1260
Severe Storm,1409.1,401.4,20
Winter Storm,2217.8,662,85
Severe Storm,1604,483.2,33
Severe Storm,1579,479.9,30
Flooding,4946.2,1536.1,45
Flooding,4828.7,1499.6,50
Tropical Cyclone,9450,3000,21
Drought,9574,2964.1,0
Flooding,1252,400,14
Severe Storm,1851.6,603.1,80
Severe Storm,1356.4,446.2,1
Winter Storm,2502.4,836.9,150
Severe Storm,1758.1,600,89
Tropical Cyclone,3788.4,1297.4,4
Tropical Cyclone,2491.3,856.1,11
Tropical Cyclone,4340.4,1496.7,63
Flooding,4046,1400,62
Severe Storm,1531.1,529.8,13
Drought,5194.5,1803.6,100
Flooding,1144,400,10
Drought,54610.4,20003.8,454
Severe Storm,1406.3,551.5,21
Tropical Cyclone,1485.9,585,11
Tropical Cyclone,22679.7,8999.9,86
Drought,7838.3,3003.2,0
Winter Storm,1700.4,680,100
Flooding,2456.9,1006.9,13
Severe Storm,1984.5,820.1,0
Wildfire,1716,715,17
Severe Storm,1509.4,645,0
Tropical Cyclone,3471.8,1502.9,18
Drought,7039.8,3008.5,0
Wildfire,7590,3300,25
Severe Storm,1817.9,804.3,0
Severe Storm,2157,954.4,0
Severe Storm,1683.1,748,0
Tropical Cyclone,60480,27000,61
Tropical Cyclone,6913,3100,7
Severe Storm,1458.5,657,26
Winter Storm,5512.4,2483,19
Winter Storm,12159.4,5527,270
Severe Storm,1403.9,644,1
Flooding,46323.6,20960.9,48
Drought,2780.2,1258,16
Wildfire,2976.2,1371.5,4
Winter Storm,2246.3,1040,70
Winter Storm,6444.9,2997.5,9
Severe Storm,2108.4,985.1,3
Tropical Cyclone,2126.8,998.5,32
Flooding,2110,1000,19
Wildfire,1544.4,725,0
Flooding,5250,2500,27
Severe Storm,1196,575,0
Severe Storm,11357,5486.5,32
Tropical Cyclone,1751,850,6
Tropical Cyclone,4326,2100,13
Drought,2027,984,872
Tropical Cyclone,9612.5,4689,27
Winter Storm,6126.2,3003,187
Flooding,2056.9,1008.3,9
Drought,3654.5,1791.5,0
Tropical Cyclone,10014,5007,37
Flooding,1352,676,1
Flooding,5973.6,3017,36
Severe Storm,1935.5,977.5,67
Flooding,7279.5,3676.5,11
Winter Storm,2733.5,1401.8,16
Severe Storm,1968.7,1004.5,132
Severe Storm,3164.6,1631.3,1
Severe Storm,2208.3,1138.4,20
Severe Storm,1734.5,894,12
Tropical Cyclone,1351,700,2
Tropical Cyclone,1891.4,980,3
Drought,6879.7,3528,200
Tropical Cyclone,11550.1,5984.5,16
Flooding,1808.8,942.1,31
Winter Storm,1982.3,1032.5,25
Winter Storm,1693.4,882,0
Severe Storm,3823.3,2012.1,55
Drought,4797.8,2498.9,502
Tropical Cyclone,12203.2,6491,77
Winter Storm,1320.3,706,4
Severe Storm,1269.6,690,0
Wildfire,1978,1075,0
Flooding,1629,900,3
Drought,9344.8,4997.2,140
Severe Storm,5508.7,3094.8,3
Severe Storm,1194.3,671,0
Tropical Cyclone,15084,8522,43
Severe Storm,3663.9,2093.8,7
Tropical Cyclone,1932.9,1104.5,2
Tropical Cyclone,2001,1150,5
Severe Storm,1252.8,720,28
Wildfire,2301.8,1322.8,21
Drought,16031.6,9006.4,0
Severe Storm,3451,2006.3,3
Severe Storm,7100.9,4128.4,51
Severe Storm,1476,858.1,7
Severe Storm,1734.2,1008.2,7
Tropical Cyclone,9322.9,5484,55
Wildfire,6613.7,3890.4,22
Drought,8731.1,5017.7,35
Severe Storm,1693.3,1013.9,4
Severe Storm,1153.7,695,0
Tropical Cyclone,26559.2,15999.5,35
Tropical Cyclone,16268,9800,48
Tropical Cyclone,34031,20500.5,57
Tropical Cyclone,12444.5,7496.5,28
Severe Storm,1410,865,0
Tropical Cyclone,4017,2495,15
Tropical Cyclone,201297.5,125029.5,1833
Drought,2433.6,1474.8,0
Tropical Cyclone,29415.2,18500.1,119
Tropical Cyclone,30020,19000,35
Severe Storm,2113.3,1337.5,10
Severe Storm,2518.2,1603.8,10
Severe Storm,3804.9,2423.5,27
Flooding,2358.5,1521.6,20
Severe Storm,1176.6,759,1
Drought,9536.7,5997.9,0
Severe Storm,1371.3,879,1
Wildfire,2332.8,1467.1,28
Severe Storm,3836.9,2507.8,9
Wildfire,4139.4,2741.3,12
Drought,5519.7,3538.3,15
Severe Storm,1463.3,982,12
Severe Storm,1805.3,1211.6,57
Severe Storm,1673.9,1131,5
Severe Storm,1528.3,1039.6,2
Severe Storm,4423.1,3029.5,13
Severe Storm,2355.7,1635.9,18
Flooding,14838,9958.4,24
Tropical Cyclone,1812.2,1267.3,3
Tropical Cyclone,8635.7,5997,53
Tropical Cyclone,43198.4,29998.8,112
Wildfire,1777,1234,16
Drought,10444.7,7009.8,0
Severe Storm,2592.9,1740.2,10
Severe Storm,2427.9,1640.5,0
Severe Storm,2116.4,1430.1,6
Severe Storm,1274.2,861,7
Severe Storm,1939,1328.1,0
Severe Storm,1470,1000,0
Flooding,1311.8,898.5,10
Wildfire,1477.4,1011.9,10
Drought,5203.2,3492,0
Winter Storm,1192.8,817,3
Flooding,2692.6,1844.2,11
Flooding,3308.8,2266.3,32
Severe Storm,4834,3333.8,3
Severe Storm,1306.7,901,2
Severe Storm,1375.1,948.3,0
Severe Storm,5472,3800,0
Winter Storm,2565.7,1794.2,36
Severe Storm,3885.3,2775.2,9
Severe Storm,3051,2179.3,0
Severe Storm,2882.9,2059.2,38
Severe Storm,1452.8,1037.5,0
Severe Storm,14310.7,10222,321
Severe Storm,12735.6,9096.8,177
Flooding,4270.1,2986,7
Severe Storm,2152.3,1537.3,3
Flooding,2863.3,2002.3,5
Severe Storm,1243.2,888,0
Severe Storm,1729.1,1235,2
Severe Storm,1600.4,1151.4,0
Tropical Cyclone,18756.7,13494,45
Drought,17109.5,11964.8,95
Tropical Cyclone,3492.4,2512.5,21
Winter Storm,1285.8,925,1
Wildfire,2549.1,1820.8,5
Severe Storm,4317.9,3128.8,42
Severe Storm,1390.9,1015.3,0
Severe Storm,1539.4,1123.6,6
Severe Storm,4488.6,3276.3,1
Severe Storm,3156.1,2303.7,1
Severe Storm,3559,2597.8,0
Severe Storm,3957,2888.4,28
Tropical Cyclone,3786.1,2763.5,9
Tropical Cyclone,88453.9,65039.6,159
Wildfire,2381.7,1738.5,8
Drought,41705.2,30003.6,123
Severe Storm,1253.9,922,1
Severe Storm,2747.2,2020,1
Severe Storm,1963.8,1444,1
Flooding,1464.7,1077,4
Severe Storm,3240.5,2400.3,27
Severe Storm,2448.4,1813.5,10
Severe Storm,1406.7,1041.9,0
Flooding,2036.5,1508.5,9
Severe Storm,1472.2,1090.6,8
Drought,14283.6,10425.9,53
Winter Storm,2933.4,2172.7,16
Severe Storm,1908.1,1424,0
Severe Storm,1221.1,918,0
Severe Storm,2309.2,1736.1,33
Severe Storm,1134.5,853,0
Severe Storm,4938.6,3713.2,0
Severe Storm,2533.4,1919.2,2
Flooding,1361.9,1031.7,2
Severe Storm,1862.6,1400.4,0
Drought,5334.8,3951.7,0
Winter Storm,3969.3,2962.1,30
Severe Storm,2069,1555.6,2
Severe Storm,1707.6,1283.9,0
Severe Storm,1255.8,944,3
Severe Storm,1691.9,1272.1,4
Flooding,3375.6,2500.4,31
Severe Storm,1547.1,1172,1
Flooding,2657.6,1998.2,25
Wildfire,3996.9,3028,12
Severe Storm,2609.3,1961.9,50
Drought,6029.3,4466,0
Severe Storm,1383.5,1040,10
Flooding,3052.1,2294.8,5
Severe Storm,1597.6,1210.3,1
Severe Storm,2725.5,2064.8,0
Severe Storm,4618.1,3498.6,0
Flooding,3559.1,2676,8
Severe Storm,3160.8,2394.5,6
Severe Storm,2252.9,1719.6,2
Severe Storm,1501.5,1146.3,0
Flooding,1288.5,968.8,23
Severe Storm,1920,1465.6,0
Flooding,13300,10000,13
Tropical Cyclone,13100,10000,49
Wildfire,3137.5,2395,21
Drought,4580,3443.5,0
Severe Storm,1436.5,1105,24
Flooding,1950,1500,5
Severe Storm,2347.8,1806,6
Severe Storm,2828.8,2176,2
Severe Storm,3476.6,2695,0
Severe Storm,1259.2,976,1
Severe Storm,1152,893,0
Flooding,2156.7,1659,20
Severe Storm,4321.5,3350,0
Severe Storm,1214.1,941,1
Severe Storm,3031.5,2350,0
Severe Storm,1946.7,1509,0
Severe Storm,1838.3,1425,0
Tropical Cyclone,160000,125000,89
Tropical Cyclone,64000,50000,97
Tropical Cyclone,115200,90000,2981
Wildfire,23226.5,18005,54
Drought,3250,2500,0
Winter Storm,1324.6,1043,22
Winter Storm,2786.4,2194,9
Severe Storm,1844.1,1452,0
Severe Storm,1660.7,1318,3
Severe Storm,1751.3,1390,0
Severe Storm,1726.2,1370,5
Severe Storm,1625,1300,0
Severe Storm,1193.8,955,0
Severe Storm,2778.8,2223,0
Severe Storm,1981.6,1585,0
Severe Storm,1063.8,851,0
Severe Storm,1281.4,1025,0
Tropical Cyclone,30000,24000,53
Tropical Cyclone,31218.8,24975,49
Drought,3797.4,2990,0
Wildfire,30000,24000,106
Severe Storm,1547.2,1237.5,2
Severe Storm,1903.4,1535,0
Flooding,13408.9,10727,3
Severe Storm,1540,1252,7
Severe Storm,1862.4,1514,0
Severe Storm,1196.9,973,0
Severe Storm,5655.6,4598,3
Flooding,3720.8,3025,5
Severe Storm,1239.8,1008,0
Flooding,7649.6,6169,4
Tropical Cyclone,1980.3,1610,10
Tropical Cyclone,6150,5000,5
Severe Storm,2113.1,1718,2
Wildfire,5535,4500,3
Severe Storm,1401.8,1149,10
Severe Storm,1532.2,1256,3
Severe Storm,2850,2336,25
Severe Storm,3120.9,2558,0
Severe Storm,3543.9,2881,0
Severe Storm,4236.2,3444,35
Severe Storm,1660.6,1350,3
Severe Storm,1263.3,1027,1
Severe Storm,2598.9,2113,2
Severe Storm,1948.6,1584,2
Severe Storm,1722,1400,0
Severe Storm,1459.1,1196,0
Tropical Cyclone,1300.8,1075,0
Tropical Cyclone,5756.1,4757,16
Severe Storm,13452.9,11027,4
Tropical Cyclone,28090.3,23215,42
Tropical Cyclone,8801.5,7274,5
Tropical Cyclone,3469.3,2867,5
Tropical Cyclone,5266,4352,6
Tropical Cyclone,1766.7,1460,12
Wildfire,19904.5,16450,46
Drought,5439.1,4495,45
Flooding,1325,1095,2
Winter Storm,27223.2,22686,262
Severe Storm,1995.8,1677,6
Severe Storm,1601.9,1346,8
Severe Storm,1755.3,1475,0
Severe Storm,3747.4,3149,0
Severe Storm,1479.1,1264,4
Flooding,1569.6,1319,5
Severe Storm,1980.1,1707,0
Severe Storm,1453.6,1253,0
Tropical Cyclone,1407.1,1213,1
Severe Storm,1252.8,1080,0
Severe Storm,1489.5,1284,2
Tropical Cyclone,1481.3,1277,7
Tropical Cyclone,84608.1,73572,96
Tropical Cyclone,1168.5,1016,0
Severe Storm,4463.1,3915,93
Severe Storm,2031.5,1782,1
Wildfire,12064,10400,8
Drought,10201.9,8431,229
Severe Storm,1118.9,1008,0
Severe Storm,1381.6,1256,2
Severe Storm,1544.8,1417,3
Severe Storm,2915.7,2675,1
Severe Storm,1230.1,1139,1
Severe Storm,2354.4,2160,0
Severe Storm,2949.6,2706,1
Severe Storm,2625.4,2431,0
Severe Storm,2025.7,1911,0
Severe Storm,3386.6,3195,1
Severe Storm,1420.4,1340,1
Flooding,1552.9,1465,42
Tropical Cyclone,2685.7,2510,25
Tropical Cyclone,119626,111800,152
Tropical Cyclone,1081.2,1020,5
Wildfire,3296.6,3110,17
Winter Storm,8951.7,8445,87
Drought,23480.6,20965,136
Winter Storm,1838.8,1751,1
Severe Storm,6170,5876,13
Flooding,4725,4500,22
Severe Storm,2956,2815,23
Severe Storm,5909.8,5628,33
Severe Storm,2956.1,2815,5
Flooding,1144,1100,0
Severe Storm,1401.9,1335,0
Severe Storm,3108.3,2960,1
Severe Storm,1372.8,1320,0
Severe Storm,2222.5,2137,1
Severe Storm,3563,3426,1
Severe Storm,1690,1625,0
Tropical Cyclone,4420,4250,2
Severe Storm,4193.2,4032,0
Severe Storm,3918.7,3768,5
Severe Storm,5453.9,5244,8
Severe Storm,1976.8,1919,3
Flooding,2230.4,2165,10
Severe Storm,1887,1832,1
Severe Storm,1526.6,1482,2
Wildfire,5665,5500,100
